"balise","direction","station","track","type","master"
13122,1,Tapanila,4,DEPARTURE,false
9560,1,Tapanila,4,DEPARTURE,false
13870,2,Tikkurila asema,5,ARRIVAL,true
13216,2,Tikkurila asema,5,ARRIVAL,false
13764,2,Tikkurila asema,5,ARRIVAL,false
13225,1,Tikkurila asema,5,DEPARTURE,true
13542,2,Tikkurila asema,5,DEPARTURE,false
9133,1,Tikkurila asema,5,DEPARTURE,false
13795,2,Tikkurila asema,6,ARRIVAL,true
9155,2,Tikkurila asema,6,ARRIVAL,false
13227,2,Tikkurila asema,6,ARRIVAL,false
13766,1,Tikkurila asema,6,DEPARTURE,true
9148,1,Tikkurila asema,6,DEPARTURE,false
13218,1,Tikkurila asema,6,DEPARTURE,false
11704,2,Tolsa,1,ARRIVAL,true
11104,2,Tolsa,1,ARRIVAL,false
11713,1,Tolsa,1,DEPARTURE,true
11876,2,Tolsa,1,DEPARTURE,false
11879,2,Tolsa,2,ARRIVAL,true
11706,2,Tolsa,2,ARRIVAL,false
11715,2,Tolsa,2,ARRIVAL,false
11706,1,Tolsa,2,DEPARTURE,true
11106,1,Tolsa,2,DEPARTURE,false
11820,2,Tuomarila,1,ARRIVAL,true
11757,1,Tuomarila,1,ARRIVAL,false
11857,1,Tuomarila,1,DEPARTURE,true
11057,1,Tuomarila,1,DEPARTURE,false
11759,2,Tuomarila,2,ARRIVAL,true
11059,2,Tuomarila,2,ARRIVAL,false
11756,1,Tuomarila,2,DEPARTURE,true
11827,2,Tuomarila,2,DEPARTURE,false
11748,2,Valimo,3,ARRIVAL,true
11821,2,Valimo,3,ARRIVAL,false
11470,1,Valimo,3,DEPARTURE,true
11026,1,Valimo,3,DEPARTURE,false
11370,1,Valimo,3,DEPARTURE,false
11731,0,Valimo,4,ARRIVAL,true
11732,0,Valimo,4,ARRIVAL,false
11023,1,Valimo,4,DEPARTURE,true
11416,2,Vantaankoski,1,ARRIVAL,true
11501,1,Vantaankoski,1,ARRIVAL,false
11316,2,Vantaankoski,1,ARRIVAL,false
61501,1,Vantaankoski,1,DEPARTURE,true
61001,1,Vantaankoski,1,DEPARTURE,false
61801,1,Vantaankoski,1,DEPARTURE,false
61803,2,Vantaankoski,2,ARRIVAL,true
61703,2,Vantaankoski,2,ARRIVAL,false
61503,2,Vantaankoski,2,ARRIVAL,false
11418,1,Vantaankoski,2,DEPARTURE,true
11318,1,Vantaankoski,2,DEPARTURE,false
61702,2,Vehkala,1,ARRIVAL,true
61802,2,Vehkala,1,ARRIVAL,false
61002,2,Vehkala,1,ARRIVAL,false
61705,1,Vehkala,1,DEPARTURE,true
61005,1,Vehkala,1,DEPARTURE,false
61807,2,Vehkala,2,ARRIVAL,true
61707,2,Vehkala,2,ARRIVAL,false
