"balise","direction","station","track","type","train_direction"
11020,2,Kannelmäki,1,ARRIVAL,1
11480,2,Kannelmäki,1,ARRIVAL,1
11301,1,Kannelmäki,1,DEPARTURE,1
11600,2,Kannelmäki,1,DEPARTURE,1
11301,2,Kannelmäki,1,ARRIVAL,2
11600,1,Kannelmäki,1,ARRIVAL,2
11601,2,Kannelmäki,1,DEPARTURE,2
11020,1,Kannelmäki,1,DEPARTURE,2
11480,1,Kannelmäki,1,DEPARTURE,2
11603,1,Kannelmäki,2,ARRIVAL,1
11018,2,Kannelmäki,2,ARRIVAL,1
11800,2,Kannelmäki,2,ARRIVAL,1
11303,1,Kannelmäki,2,DEPARTURE,1
11602,2,Kannelmäki,2,DEPARTURE,1
11403,1,Kannelmäki,2,DEPARTURE,1
11303,2,Kannelmäki,2,ARRIVAL,2
11602,1,Kannelmäki,2,ARRIVAL,2
11403,2,Kannelmäki,2,ARRIVAL,2
11603,2,Kannelmäki,2,DEPARTURE,2
11018,1,Kannelmäki,2,DEPARTURE,2
11800,1,Kannelmäki,2,DEPARTURE,2
11078,2,Kauklahti asema,1,ARRIVAL,1
11775,1,Kauklahti asema,1,DEPARTURE,1
11830,2,Kauklahti asema,1,DEPARTURE,1
11075,1,Kauklahti asema,1,DEPARTURE,1
11078,1,Kauklahti asema,1,DEPARTURE,2
11775,2,Kauklahti asema,1,ARRIVAL,2
11830,1,Kauklahti asema,1,ARRIVAL,2
11075,2,Kauklahti asema,1,ARRIVAL,2
11076,2,Kauklahti asema,2,ARRIVAL,1
11843,1,Kauklahti asema,2,ARRIVAL,1
11077,1,Kauklahti asema,2,DEPARTURE,1
11077,2,Kauklahti asema,2,ARRIVAL,2
11076,1,Kauklahti asema,2,DEPARTURE,2
11843,2,Kauklahti asema,2,DEPARTURE,2
11074,2,Kauklahti asema,3,ARRIVAL,1
11841,1,Kauklahti asema,3,ARRIVAL,1
11074,1,Kauklahti asema,3,DEPARTURE,2
11841,2,Kauklahti asema,3,DEPARTURE,2
11816,2,Kauniainen,1,ARRIVAL,1
11044,2,Kauniainen,1,ARRIVAL,1
11560,2,Kauniainen,1,ARRIVAL,1
11747,1,Kauniainen,1,DEPARTURE,1
11047,1,Kauniainen,1,DEPARTURE,1
11512,1,Kauniainen,1,DEPARTURE,1
11747,2,Kauniainen,1,ARRIVAL,2
11047,2,Kauniainen,1,ARRIVAL,2
11512,2,Kauniainen,1,ARRIVAL,2
11816,1,Kauniainen,1,DEPARTURE,2
11044,1,Kauniainen,1,DEPARTURE,2
11560,1,Kauniainen,1,DEPARTURE,2
11742,2,Kauniainen,2,ARRIVAL,1
11042,2,Kauniainen,2,ARRIVAL,1
11562,2,Kauniainen,2,ARRIVAL,1
11045,1,Kauniainen,2,DEPARTURE,1
11513,1,Kauniainen,2,DEPARTURE,1
11045,2,Kauniainen,2,ARRIVAL,2
11513,2,Kauniainen,2,ARRIVAL,2
11742,1,Kauniainen,2,DEPARTURE,2
11042,1,Kauniainen,2,DEPARTURE,2
11562,1,Kauniainen,2,DEPARTURE,2
11812,2,Kera,1,ARRIVAL,1
11815,1,Kera,1,ARRIVAL,1
11038,2,Kera,1,ARRIVAL,1
11741,1,Kera,1,DEPARTURE,1
11041,1,Kera,1,DEPARTURE,1
11741,2,Kera,1,ARRIVAL,2
